,City,color,name,score_out_of_10
8,victoria,#051fa5,Healthcare,8.517333333333333
9,victoria,#150e78,Education,5.3815
10,victoria,#3d14a4,Environmental Quality,9.29475
11,victoria,#5c14a1,Economy,5.8405000000000005
12,victoria,#88149f,Taxation,7.2745000000000015
13,victoria,#b9117d,Internet Access,6.194999999999999
14,victoria,#d10d54,Leisure & Culture,4.523000000000001
15,victoria,#e70c26,Tolerance,8.7825
16,victoria,#f1351b,Outdoors,4.3555
0,montreal,#f3c32c,Housing,7.392000000000001
1,montreal,#f3d630,Cost of Living,5.948
2,montreal,#f4eb33,Startups,8.102500000000001
3,montreal,#d2ed31,Venture Capital,5.773000000000001
4,montreal,#7adc29,Travel Connectivity,3.443
5,montreal,#36cc24,Commute,5.107
6,montreal,#19ad51,Business Freedom,8.966
7,montreal,#0d6999,Safety,7.822
8,montreal,#051fa5,Healthcare,8.325666666666667
9,montreal,#150e78,Education,7.299000000000001
10,montreal,#3d14a4,Environmental Quality,7.7215
11,montreal,#5c14a1,Economy,5.8405000000000005
12,montreal,#88149f,Taxation,7.2745000000000015
13,montreal,#b9117d,Internet Access,4.478000000000001
14,montreal,#d10d54,Leisure & Culture,6.9174999999999995
15,montreal,#e70c26,Tolerance,8.193
16,montreal,#f1351b,Outdoors,5.303
0,vancouver,#f3c32c,Housing,4.080500000000001
1,vancouver,#f3d630,Cost of Living,5.259
2,vancouver,#f4eb33,Startups,8.17
3,vancouver,#d2ed31,Venture Capital,5.8420000000000005
4,vancouver,#7adc29,Travel Connectivity,2.771
5,vancouver,#36cc24,Commute,4.93675
6,vancouver,#19ad51,Business Freedom,8.966
7,vancouver,#0d6999,Safety,7.5695
8,vancouver,#051fa5,Healthcare,8.751333333333335
9,vancouver,#150e78,Education,6.889000000000001
10,vancouver,#3d14a4,Environmental Quality,8.42325
11,vancouver,#5c14a1,Economy,5.8405000000000005
12,vancouver,#88149f,Taxation,7.2745000000000015
13,vancouver,#b9117d,Internet Access,4.550500000000001
14,vancouver,#d10d54,Leisure & Culture,5.7170000000000005
15,vancouver,#e70c26,Tolerance,8.295
16,vancouver,#f1351b,Outdoors,7.4
