,City,float_value,id,label,type,percent_value,string_value,currency_dollar_value,int_value,url_value
3,halifax,0.7372,URBAN-GREENERY-TELESCORE,Urban greenery [Teleport score],float,,,,,
0,halifax,0.6046,CRIME-RATE-TELESCORE,Crime rate [Teleport score],float,,,,,
1,halifax,,GUN-DEATH-RATE,"Gun-related deaths per 100,000 residents per year",int,,,,1.97,
2,halifax,0.9478,GUN-DEATH-SCORE-TELESCORE,Lack of gun related deaths [Teleport score],float,,,,,
3,halifax,,GUN-OWNERSHIP,Guns per 100 residents,int,,,,30.8,
4,halifax,0.8331,GUN-OWNERSHIP-SCORE-TELESCORE,Lack of guns [Teleport score],float,,,,,
5,halifax,0.8905,GUN-SCORE-TELESCORE,Lack of guns and gun-related deaths [Teleport score],float,,,,,
0,halifax,0.2992,COWORKING-SPACES-TELESCORE,Coworking spaces [Teleport score],float,,,,,
1,halifax,,EVENTS-COUNT,Startup events,int,,,,108.0,
2,halifax,,EVENTS-LAST-12-MONTHS,Number of startup events in the last 12 months,int,,,,193.0,
3,halifax,0.6817,EVENTS-TELESCORE,Startup events [Teleport score],float,,,,,
4,halifax,,FUNDERBEAM-TOTAL-STARTUPS,Total number of startups,int,,,,61.0,
5,halifax,,MEETUPS-DETAIL-TOTAL-EVENTS,Number of upcoming meetup events,int,,,,3.0,
6,halifax,,MEETUPS-GROUPS,Meetups groups,int,,,,20.0,
7,halifax,,MEETUPS-MEMBERS,Meetups members,int,,,,5247.0,
8,halifax,0.1459,MEETUPS-TELESCORE,Meetups [Teleport score],float,,,,,
9,halifax,,STARTUP-CLIMATE-INVESTORS,Number of investors,int,,,,16.0,
10,halifax,,STARTUP-CLIMATE-NEW-STARTUPS,Average monthly increase in number of startups,int,,,,1.0,
11,halifax,0.1995,STARTUP-CLIMATE-NEW-STARTUPS-TELESCORE,Average monthly increase in number of startups [Teleport score],float,,,,,
12,halifax,0.3804,STARTUP-CLIMATE-SCENE-TELESCORE,Startup climate scene [Teleport score],float,,,,,
13,halifax,0.5253,STARTUP-CLIMATE-STARTUPS-TELESCORE,Startups [Teleport score],float,,,,,
14,halifax,,WORKFROM-COWORKING-SPACES-COUNT,Coworking spaces on WorkFrom.co,int,,,,9.0,
0,halifax,,COMPANY-PROFIT-TAX-RATE,Profit tax (%% of profit),percent,0.21,,,,
1,halifax,0.9574,COMPANY-PROFIT-TAX-RATE-TELESCORE,Effective company profit tax rate on payouts as dividends [Teleport score],float,,,,,
2,halifax,0.4975,INCOME-TAX-TELESCORE,Income tax level [Teleport score],float,,,,,
3,halifax,,TAX-VAT,VAT (Sales Tax),percent,0.05,,,,
4,halifax,,TIME-OVERHEAD-COMPANY-TAXES,Time overhead to file company taxes,int,,,,131.0,
0,halifax,0.7703,TRAFFIC-INDEX-TELESCORE,Traffic handling [Teleport score],float,,,,,
0,halifax,,AIRPORT-HUB-INDEX-DETAIL,Airport hub,int,,,,28.0,
1,halifax,0.1969,AIRPORT-HUB-TELESCORE,Airport hub [Teleport score],float,,,,,
2,halifax,0.1171,TRAIN-TRANSPORT-TELESCORE,Intercity train connectivity [Teleport score],float,,,,,
0,quebec,81.8,BUSINESS-FREEDOM,Business freedom,float,,,,,
1,quebec,0.8027,BUSINESS-FREEDOM-TELESCORE,Business freedom [Teleport score],float,,,,,
2,quebec,81.0,CORRUPTION-FREEDOM,Freedom from corruption,float,,,,,
3,quebec,0.8871,CORRUPTION-FREEDOM-TELESCORE,Freedom from corruption [Teleport score],float,,,,,
4,quebec,72.6,LABOR-RESTRICTIONS,Lack of labor restrictions,float,,,,,
5,quebec,0.6705,LABOR-RESTRICTIONS-TELESCORE,Lack of labor restrictions [Teleport score],float,,,,,
6,quebec,1.5,TIME-TO-OPEN-BUSINESS,Time to open a business,float,,,,,
7,quebec,1.0,TIME-TO-OPEN-BUSINESS-TELESCORE,Time to open a business [Teleport score],float,,,,,
0,quebec,0.7679,POPULATION-SIZE,Urban area population (millions),float,,,,,
1,quebec,759.9493408203125,POPULATION-UA-CENTER-DENSITY,Population density in people/sq km in UA center.,float,,,,,
2,quebec,808.4248775407642,POPULATION-UA-DENSITY,Population density in people/sq km over full UA as defined by bounding box.,float,,,,,
0,quebec,12.8,WEATHER-AV-DAY-LENGTH,Average day length (hours),float,,,,,
1,quebec,,WEATHER-AVERAGE-HIGH,Average high temperature (Celsius),string,,8,,,
2,quebec,,WEATHER-AVERAGE-LOW,Average low temperature (Celsius),string,,---,,,
3,quebec,11.8,WEATHER-SUNSHINE-AMOUNT,Average daily solar radiation (Mj/m²),float,,,,,
4,quebec,,WEATHER-TYPE,Weather type,string,,Warm Summer Continental Climate,,,
0,quebec,0.6037,CONSUMER-PRICE-INDEX-TELESCORE,Inflation [Teleport score],float,,,,,
1,quebec,,COST-APPLES,A kilogram of Apples,currency_dollar,,,3.1,,
2,quebec,,COST-BREAD,Bread,currency_dollar,,,0.76,,
3,quebec,,COST-CAPPUCCINO,A Cappuccino,currency_dollar,,,3.4,,
4,quebec,,COST-CINEMA,Movie ticket,currency_dollar,,,9.5,,
5,quebec,,COST-FITNESS-CLUB,Monthly fitness club membership,currency_dollar,,,33.0,,
6,quebec,,COST-IMPORT-BEER,A beer,currency_dollar,,,2.6,,
7,quebec,,COST-PUBLIC-TRANSPORT,Monthly public transport,currency_dollar,,,70.0,,
8,quebec,,COST-RESTAURANT-MEAL,Lunch,currency_dollar,,,12.0,,
9,quebec,,COST-TAXI,5km taxi ride,currency_dollar,,,8.6,,
10,quebec,,RESTAURANT-PRICE-INDEX,Price of a meal at a restaurant,currency_dollar,,,61.43,,
0,quebec,0.5864,CULTURE-ART-GALLERIES-TELESCORE,Art galleries [Teleport score],float,,,,,
1,quebec,,CULTURE-ART-GALLERIES-VENUE-COUNT,Art galleries,int,,,,71.0,
2,quebec,0.3168,CULTURE-CINEMA-TELESCORE,Cinemas [Teleport score],float,,,,,
3,quebec,,CULTURE-CINEMAS-VENUE-COUNT,Cinemas,int,,,,17.0,
4,quebec,0.6645,CULTURE-COMEDY-CLUBS-TELESCORE,Comedy clubs [Teleport score],float,,,,,
5,quebec,,CULTURE-COMEDY-CLUBS-VENUE-COUNT,Comedy clubs,int,,,,20.0,
6,quebec,0.4474,CULTURE-CONCERTS-TELESCORE,Concerts [Teleport score],float,,,,,
7,quebec,,CULTURE-CONCERTS-VENUE-COUNT,Concert venues,int,,,,55.0,
8,quebec,0.6899,CULTURE-HISTORICAL-SITES-TELESCORE,Historical sites [Teleport score],float,,,,,
9,quebec,,CULTURE-HISTORICAL-SITES-VENUE-COUNT,Historical sites,int,,,,47.0,
10,quebec,0.4374,CULTURE-MUSEUMS-TELESCORE,Museums [Teleport score],float,,,,,
11,quebec,,CULTURE-MUSEUMS-VENUE-COUNT,Museums,int,,,,37.0,
12,quebec,0.4792,CULTURE-PERFORMING-ARTS-TELESCORE,Performing arts [Teleport score],float,,,,,
13,quebec,,CULTURE-PERFORMING-ARTS-VENUE-COUNT,Performing art venues,int,,,,73.0,
14,quebec,0.4725,CULTURE-SPORTS-TELESCORE,Sports [Teleport score],float,,,,,
15,quebec,,CULTURE-SPORTS-VENUE-COUNT,Sport venues,int,,,,43.0,
16,quebec,0.1,CULTURE-ZOOS-TELESCORE,Zoos [Teleport score],float,,,,,
0,quebec,,CURRENCY-URBAN-AREA,Currency for urban area,string,,CAD,,,
1,quebec,1.2676461121,CURRENCY-URBAN-AREA-EXCHANGE-RATE,Currency exchange rate per US dollar for urban area,float,,,,,
2,quebec,,GDP-GROWTH-RATE,GDP growth rate,percent,0.02532,,,,
3,quebec,0.4499,GDP-GROWTH-RATE-TELESCORE,GDP growth rate [Teleport score],float,,,,,
4,quebec,,GDP-PER-CAPITA,GDP per capita,currency_dollar,,,44843.442,,
5,quebec,0.7182,GDP-PER-CAPITA-TELESCORE,GDP per capita [Teleport score],float,,,,,
0,quebec,,PISA-DETAIL-HAPPINESS,Percent of happy students,percent,0.7924683349556274,,,,
1,quebec,,PISA-DETAIL-MATH-HIGH-PERFORMERS,Percent of top performers in PISA math test,percent,0.16395889881368156,,,,
2,quebec,,PISA-DETAIL-MATH-LOW-PERFORMERS,Percent of low performers in PISA math test,percent,0.13828946464512126,,,,
3,quebec,515.4297028079022,PISA-DETAIL-MATH-MEAN-SCORES,Country mean scores in PISA math test,float,,,,,
4,quebec,,PISA-DETAIL-READING-HIGH-PERFORMERS,Percent of top performers in PISA reading test,percent,0.12856778143607905,,,,
5,quebec,,PISA-DETAIL-READING-LOW-PERFORMERS,Percent of low performers in PISA reading test,percent,0.10894788089799351,,,,
6,quebec,523.1240029666766,PISA-DETAIL-READING-MEAN-SCORES,Country mean scores in PISA reading test,float,,,,,
7,quebec,,PISA-DETAIL-SCIENCE-HIGH-PERFORMERS,Percent of top performers in PISA science test,percent,0.11311272404470786,,,,
8,quebec,,PISA-DETAIL-SCIENCE-LOW-PERFORMERS,Percent of low performers in PISA science test,percent,0.10422230388408599,,,,
9,quebec,525.4412921426247,PISA-DETAIL-SCIENCE-MEAN-SCORES,Country mean scores in PISA science test,float,,,,,
10,quebec,,PISA-MATHS-RANKING,PISA math ranking (high school),int,,,,9.0,
11,quebec,,PISA-RANKING,PISA ranking,int,,,,5.0,
12,quebec,0.9665,PISA-RANKING-TELESCORE,PISA ranking (high school) [Teleport score],float,,,,,
13,quebec,,PISA-READING-RANKING,PISA reading (high school),int,,,,2.0,
14,quebec,,PISA-SCIENCE-RANKING,PISA science (high school),int,,,,6.0,
15,quebec,0.1175,QUALITY-OF-UNIVERSITIES-TELESCORE,University quality [Teleport score],float,,,,,
16,quebec,,UNIVERSITIES-BEST-RANKED-NAME,Best university in ranking,string,,Laval University,,,
17,quebec,,UNIVERSITIES-BEST-RANKED-RANK,Best university ranking,int,,,,275.0,
0,quebec,0.9068,HEALTHCARE-COST-TELESCORE,Healthcare expenditure [Teleport score],float,,,,,
1,quebec,82.1746,HEALTHCARE-LIFE-EXPECTANCY,Life expectancy (years),float,,,,,
2,quebec,0.929,HEALTHCARE-LIFE-EXPECTANCY-TELESCORE,Life expectancy [Teleport score],float,,,,,
3,quebec,0.7818,HEALTHCARE-QUALITY-TELESCORE,Healthcare quality [Teleport score],float,,,,,
0,quebec,,APARTMENT-RENT-LARGE,Large apartment,currency_dollar,,,850.0,,
1,quebec,,APARTMENT-RENT-MEDIUM,Medium apartment,currency_dollar,,,700.0,,
2,quebec,,APARTMENT-RENT-SMALL,Small apartment,currency_dollar,,,550.0,,
3,quebec,0.8689,RENT-INDEX-TELESCORE,Rent index [Teleport score],float,,,,,
0,quebec,,ELDERLY-PEOPLE,Percent of elderly people (65+ years) in country,percent,0.001818,,,,
1,quebec,81.9,LIFE-EXPECTANCY,Life expectancy at birth in country,float,,,,,
2,quebec,42.0,MEDIAN-AGE,Median age in country,float,,,,,
3,quebec,,UNEMPLOYMENT-RATE,Unemployment rate in country,percent,0.0007099999999999999,,,,
0,quebec,,EMPLOYER-SOCIAL-TAXES-CAP-OTHER,Maximum amount paid by employer as other social taxes per employee,currency_dollar,,,82.0,,
1,quebec,,EMPLOYER-SOCIAL-TAXES-CAP-SOC-SEC,Maximum amount paid by employer as social security taxes per employee,currency_dollar,,,156.0,,
2,quebec,,EMPLOYER-SOCIAL-TAXES-OTHER,Employer social taxes per employee,percent,0.02632,,,,
3,quebec,,EMPLOYER-SOCIAL-TAXES-SOC-SEC,Employer social security taxes per employee,percent,0.0495,,,,
4,quebec,,STARTUP-JOBS-AVAILABLE,Startup jobs available,int,,,,8.0,
5,quebec,0.2728,STARTUP-JOBS-AVAILABLE-TELESCORE,Startup job availability [Teleport score],float,,,,,
0,quebec,,ENGLISH-SKILLS-DETAIL,English skills,int,,,,100.0,
1,quebec,1.0,ENGLISH-SKILLS-TELESCORE,English skills [Teleport score],float,,,,,
2,quebec,,SPOKEN-LANGUAGES,Spoken languages,string,,"English, French",,,
0,quebec,,LGBT-DETAIL-ADOPTION,LGBT adoption rights,string,,✔ Legal,,,
1,quebec,,LGBT-DETAIL-AGE-OF-CONSENT,LGBT age of consent,string,,✖ Unequal,,,
2,quebec,,LGBT-DETAIL-CHANGING-GENDER,LGBT gender changing rights,string,,Varies by Region,,,
3,quebec,,LGBT-DETAIL-CONVERSION-THERAPY,LGBT conversion therapy regulations,string,,Varies by Region,,,
4,quebec,,LGBT-DETAIL-DISCRIMINATION,LGBT discrimination legality,string,,Illegal in some contexts,,,
5,quebec,,LGBT-DETAIL-DONATING-BLOOD,LGBT blood donation regulations,string,,✖ Banned (5-year deferral),,,
6,quebec,,LGBT-DETAIL-EMPLOYMENT-DISCRIMINATION,LGBT employment discrimination legality,string,,Sexual orientation only,,,
7,quebec,,LGBT-DETAIL-HOMOSEXUALITY,LGBT homosexuality rights,string,,✔ Legal,,,
8,quebec,,LGBT-DETAIL-HOUSING-DISCRIMINATION,LGBT housing discrimination legality,string,,Varies by Region,,,
9,quebec,,LGBT-DETAIL-MARRIAGE,LGBT marriage rights,string,,✔ Legal,,,
10,quebec,,LGBT-DETAIL-OPINION-PERCENT-IN-FAVOR,Homosexuality acceptance (percent of the surveyed population in favor),percent,0.8,,,,
11,quebec,82.02,LGBT-INDEX,LGBT Equality Index,float,,,,,
12,quebec,0.8369,LGBT-INDEX-TELESCORE,LGBT Equality Index [Teleport score],float,,,,,
13,quebec,0.8875,TOLERANCE-TOWARDS-MINORITIES-TELESCORE,Tolerance towards minorities [Teleport score],float,,,,,
0,quebec,13.1,NETWORK-DOWNLOAD,Download speed (Mbps),float,,,,,
1,quebec,0.2456,NETWORK-DOWNLOAD-TELESCORE,Internet access (download) [Teleport score],float,,,,,
2,quebec,9.22,NETWORK-UPLOAD,Upload speed (Mbps),float,,,,,
3,quebec,0.4141,NETWORK-UPLOAD-TELESCORE,Internet access (upload) [Teleport score],float,,,,,
0,quebec,63.0,ELEVATION,Urban area elevation (meters),float,,,,,
1,quebec,1.0,ELEVATION-HILLS,Presence of hills in city,float,,,,,
2,quebec,1.0,ELEVATION-MOUNTAINS,Presence of mountains in city,float,,,,,
3,quebec,528.5,ELEVATION-PEAKS,Median peak in meters,float,,,,,
4,quebec,0.229,ELEVATION-PEAKS-TELESCORE,Elevation (hills or mountains) [Teleport score],float,,,,,
5,quebec,0.7148,SEASIDE-ACCESS-TELESCORE,Water access [Teleport score],float,,,,,
6,quebec,1.0,SEASIDE-SEASIDE,Seaside access,float,,,,,
0,quebec,0.8207,AIR-POLLUTION-TELESCORE,Air quality [Teleport score],float,,,,,
1,quebec,0.6397,CLEANLINESS-TELESCORE,Cleanliness [Teleport score],float,,,,,
2,quebec,0.7609,DRINKING-WATER-QUALITY-TELESCORE,Drinking water quality [Teleport score],float,,,,,
3,quebec,0.7049,URBAN-GREENERY-TELESCORE,Urban greenery [Teleport score],float,,,,,
0,quebec,0.9988,CRIME-RATE-TELESCORE,Crime rate [Teleport score],float,,,,,
1,quebec,,GUN-DEATH-RATE,"Gun-related deaths per 100,000 residents per year",int,,,,1.97,
2,quebec,0.9478,GUN-DEATH-SCORE-TELESCORE,Lack of gun related deaths [Teleport score],float,,,,,
3,quebec,,GUN-OWNERSHIP,Guns per 100 residents,int,,,,30.8,
4,quebec,0.8331,GUN-OWNERSHIP-SCORE-TELESCORE,Lack of guns [Teleport score],float,,,,,
5,quebec,0.8905,GUN-SCORE-TELESCORE,Lack of guns and gun-related deaths [Teleport score],float,,,,,
0,quebec,0.2992,COWORKING-SPACES-TELESCORE,Coworking spaces [Teleport score],float,,,,,
1,quebec,,EVENTS-COUNT,Startup events,int,,,,76.0,
2,quebec,,EVENTS-LAST-12-MONTHS,Number of startup events in the last 12 months,int,,,,165.0,
3,quebec,0.6285,EVENTS-TELESCORE,Startup events [Teleport score],float,,,,,
4,quebec,,FUNDERBEAM-TOTAL-STARTUPS,Total number of startups,int,,,,71.0,
5,quebec,,MEETUPS-DETAIL-TOTAL-EVENTS,Number of upcoming meetup events,int,,,,8.0,
6,quebec,,MEETUPS-GROUPS,Meetups groups,int,,,,32.0,
7,quebec,,MEETUPS-MEMBERS,Meetups members,int,,,,5522.0,
8,quebec,0.1741,MEETUPS-TELESCORE,Meetups [Teleport score],float,,,,,
9,quebec,,STARTUP-CLIMATE-NEW-STARTUPS,Average monthly increase in number of startups,int,,,,1.0,
10,quebec,0.1995,STARTUP-CLIMATE-NEW-STARTUPS-TELESCORE,Average monthly increase in number of startups [Teleport score],float,,,,,
11,quebec,0.4264,STARTUP-CLIMATE-SCENE-TELESCORE,Startup climate scene [Teleport score],float,,,,,
12,quebec,0.5474,STARTUP-CLIMATE-STARTUPS-TELESCORE,Startups [Teleport score],float,,,,,
13,quebec,,WORKFROM-COWORKING-SPACES-COUNT,Coworking spaces on WorkFrom.co,int,,,,6.0,
0,quebec,,COMPANY-PROFIT-TAX-RATE,Profit tax (%% of profit),percent,0.21,,,,
1,quebec,0.9574,COMPANY-PROFIT-TAX-RATE-TELESCORE,Effective company profit tax rate on payouts as dividends [Teleport score],float,,,,,
2,quebec,0.4975,INCOME-TAX-TELESCORE,Income tax level [Teleport score],float,,,,,
3,quebec,,TAX-VAT,VAT (Sales Tax),percent,0.05,,,,
4,quebec,,TIME-OVERHEAD-COMPANY-TAXES,Time overhead to file company taxes,int,,,,131.0,
0,quebec,0.8046,TRAFFIC-INDEX-TELESCORE,Traffic handling [Teleport score],float,,,,,
0,quebec,,AIRPORT-HUB-INDEX-DETAIL,Airport hub,int,,,,18.0,
1,quebec,0.1592,AIRPORT-HUB-TELESCORE,Airport hub [Teleport score],float,,,,,
2,quebec,0.1171,TRAIN-TRANSPORT-TELESCORE,Intercity train connectivity [Teleport score],float,,,,,
0,toronto,81.8,BUSINESS-FREEDOM,Business freedom,float,,,,,
1,toronto,0.8027,BUSINESS-FREEDOM-TELESCORE,Business freedom [Teleport score],float,,,,,
2,toronto,81.0,CORRUPTION-FREEDOM,Freedom from corruption,float,,,,,
3,toronto,0.8871,CORRUPTION-FREEDOM-TELESCORE,Freedom from corruption [Teleport score],float,,,,,
4,toronto,72.6,LABOR-RESTRICTIONS,Lack of labor restrictions,float,,,,,
5,toronto,0.6705,LABOR-RESTRICTIONS-TELESCORE,Lack of labor restrictions [Teleport score],float,,,,,
6,toronto,1.5,TIME-TO-OPEN-BUSINESS,Time to open a business,float,,,,,
7,toronto,1.0,TIME-TO-OPEN-BUSINESS-TELESCORE,Time to open a business [Teleport score],float,,,,,
0,toronto,7.692,POPULATION-SIZE,Urban area population (millions),float,,,,,
1,toronto,3067.38330078125,POPULATION-UA-CENTER-DENSITY,Population density in people/sq km in UA center.,float,,,,,
2,toronto,847.3858876418947,POPULATION-UA-DENSITY,Population density in people/sq km over full UA as defined by bounding box.,float,,,,,
0,toronto,12.7,WEATHER-AV-DAY-LENGTH,Average day length (hours),float,,,,,
1,toronto,,WEATHER-AVERAGE-HIGH,Average high temperature (Celsius),string,,12.9,,,
2,toronto,,WEATHER-AVERAGE-LOW,Average low temperature (Celsius),string,,2.5,,,
3,toronto,13.9,WEATHER-SUNSHINE-AMOUNT,Average daily solar radiation (Mj/m²),float,,,,,
4,toronto,,WEATHER-TYPE,Weather type,string,,Warm Summer Continental Climate,,,
0,toronto,0.5271,CONSUMER-PRICE-INDEX-TELESCORE,Inflation [Teleport score],float,,,,,
1,toronto,,COST-APPLES,A kilogram of Apples,currency_dollar,,,3.0,,
2,toronto,,COST-BREAD,Bread,currency_dollar,,,0.88,,
3,toronto,,COST-CAPPUCCINO,A Cappuccino,currency_dollar,,,3.7,,
4,toronto,,COST-CINEMA,Movie ticket,currency_dollar,,,12.0,,
5,toronto,,COST-FITNESS-CLUB,Monthly fitness club membership,currency_dollar,,,48.0,,
6,toronto,,COST-IMPORT-BEER,A beer,currency_dollar,,,2.3,,
7,toronto,,COST-PUBLIC-TRANSPORT,Monthly public transport,currency_dollar,,,110.0,,
8,toronto,,COST-RESTAURANT-MEAL,Lunch,currency_dollar,,,14.0,,
9,toronto,,COST-TAXI,5km taxi ride,currency_dollar,,,10.0,,
10,toronto,,RESTAURANT-PRICE-INDEX,Price of a meal at a restaurant,currency_dollar,,,67.53,,
0,toronto,0.8412,CULTURE-ART-GALLERIES-TELESCORE,Art galleries [Teleport score],float,,,,,
1,toronto,,CULTURE-ART-GALLERIES-VENUE-COUNT,Art galleries,int,,,,177.0,
2,toronto,0.7839,CULTURE-CINEMA-TELESCORE,Cinemas [Teleport score],float,,,,,
3,toronto,,CULTURE-CINEMAS-VENUE-COUNT,Cinemas,int,,,,149.0,
4,toronto,0.8932,CULTURE-COMEDY-CLUBS-TELESCORE,Comedy clubs [Teleport score],float,,,,,
5,toronto,,CULTURE-COMEDY-CLUBS-VENUE-COUNT,Comedy clubs,int,,,,80.0,
6,toronto,0.8293,CULTURE-CONCERTS-TELESCORE,Concerts [Teleport score],float,,,,,
7,toronto,,CULTURE-CONCERTS-VENUE-COUNT,Concert venues,int,,,,212.0,
8,toronto,0.8763,CULTURE-HISTORICAL-SITES-TELESCORE,Historical sites [Teleport score],float,,,,,
9,toronto,,CULTURE-HISTORICAL-SITES-VENUE-COUNT,Historical sites,int,,,,126.0,
10,toronto,0.6889,CULTURE-MUSEUMS-TELESCORE,Museums [Teleport score],float,,,,,
11,toronto,,CULTURE-MUSEUMS-VENUE-COUNT,Museums,int,,,,111.0,
12,toronto,0.8924,CULTURE-PERFORMING-ARTS-TELESCORE,Performing arts [Teleport score],float,,,,,
13,toronto,,CULTURE-PERFORMING-ARTS-VENUE-COUNT,Performing art venues,int,,,,278.0,
14,toronto,0.8746,CULTURE-SPORTS-TELESCORE,Sports [Teleport score],float,,,,,
15,toronto,,CULTURE-SPORTS-VENUE-COUNT,Sport venues,int,,,,84.0,
16,toronto,0.8675,CULTURE-ZOOS-TELESCORE,Zoos [Teleport score],float,,,,,
17,toronto,,CULTURE-ZOOS-VENUE-COUNT,Zoos,int,,,,79.0,
0,toronto,,CURRENCY-URBAN-AREA,Currency for urban area,string,,CAD,,,
1,toronto,1.2676461121,CURRENCY-URBAN-AREA-EXCHANGE-RATE,Currency exchange rate per US dollar for urban area,float,,,,,
2,toronto,,GDP-GROWTH-RATE,GDP growth rate,percent,0.02532,,,,
3,toronto,0.4499,GDP-GROWTH-RATE-TELESCORE,GDP growth rate [Teleport score],float,,,,,
4,toronto,,GDP-PER-CAPITA,GDP per capita,currency_dollar,,,44843.442,,
5,toronto,0.7182,GDP-PER-CAPITA-TELESCORE,GDP per capita [Teleport score],float,,,,,
0,toronto,,PISA-DETAIL-HAPPINESS,Percent of happy students,percent,0.7924683349556274,,,,
1,toronto,,PISA-DETAIL-MATH-HIGH-PERFORMERS,Percent of top performers in PISA math test,percent,0.16395889881368156,,,,
2,toronto,,PISA-DETAIL-MATH-LOW-PERFORMERS,Percent of low performers in PISA math test,percent,0.13828946464512126,,,,
3,toronto,515.4297028079022,PISA-DETAIL-MATH-MEAN-SCORES,Country mean scores in PISA math test,float,,,,,
4,toronto,,PISA-DETAIL-READING-HIGH-PERFORMERS,Percent of top performers in PISA reading test,percent,0.12856778143607905,,,,
5,toronto,,PISA-DETAIL-READING-LOW-PERFORMERS,Percent of low performers in PISA reading test,percent,0.10894788089799351,,,,
6,toronto,523.1240029666766,PISA-DETAIL-READING-MEAN-SCORES,Country mean scores in PISA reading test,float,,,,,
7,toronto,,PISA-DETAIL-SCIENCE-HIGH-PERFORMERS,Percent of top performers in PISA science test,percent,0.11311272404470786,,,,
8,toronto,,PISA-DETAIL-SCIENCE-LOW-PERFORMERS,Percent of low performers in PISA science test,percent,0.10422230388408599,,,,
9,toronto,525.4412921426247,PISA-DETAIL-SCIENCE-MEAN-SCORES,Country mean scores in PISA science test,float,,,,,
10,toronto,,PISA-MATHS-RANKING,PISA math ranking (high school),int,,,,9.0,
11,toronto,,PISA-RANKING,PISA ranking,int,,,,5.0,
12,toronto,0.9665,PISA-RANKING-TELESCORE,PISA ranking (high school) [Teleport score],float,,,,,
13,toronto,,PISA-READING-RANKING,PISA reading (high school),int,,,,2.0,
14,toronto,,PISA-SCIENCE-RANKING,PISA science (high school),int,,,,6.0,
15,toronto,0.554,QUALITY-OF-UNIVERSITIES-TELESCORE,University quality [Teleport score],float,,,,,
16,toronto,,UNIVERSITIES-BEST-RANKED-NAME,Best university in ranking,string,,University of Toronto,,,
17,toronto,,UNIVERSITIES-BEST-RANKED-RANK,Best university ranking,int,,,,22.0,
0,toronto,0.9068,HEALTHCARE-COST-TELESCORE,Healthcare expenditure [Teleport score],float,,,,,
1,toronto,82.1746,HEALTHCARE-LIFE-EXPECTANCY,Life expectancy (years),float,,,,,
2,toronto,0.929,HEALTHCARE-LIFE-EXPECTANCY-TELESCORE,Life expectancy [Teleport score],float,,,,,
3,toronto,0.7953,HEALTHCARE-QUALITY-TELESCORE,Healthcare quality [Teleport score],float,,,,,
0,toronto,,APARTMENT-RENT-LARGE,Large apartment,currency_dollar,,,1900.0,,
1,toronto,,APARTMENT-RENT-MEDIUM,Medium apartment,currency_dollar,,,1600.0,,
2,toronto,,APARTMENT-RENT-SMALL,Small apartment,currency_dollar,,,1300.0,,
3,toronto,0.4647,RENT-INDEX-TELESCORE,Rent index [Teleport score],float,,,,,
0,toronto,,ELDERLY-PEOPLE,Percent of elderly people (65+ years) in country,percent,0.001818,,,,
1,toronto,81.9,LIFE-EXPECTANCY,Life expectancy at birth in country,float,,,,,
2,toronto,42.0,MEDIAN-AGE,Median age in country,float,,,,,
3,toronto,,UNEMPLOYMENT-RATE,Unemployment rate in country,percent,0.0007099999999999999,,,,
0,toronto,,EMPLOYER-SOCIAL-TAXES-CAP-OTHER,Maximum amount paid by employer as other social taxes per employee,currency_dollar,,,82.0,,
1,toronto,,EMPLOYER-SOCIAL-TAXES-CAP-SOC-SEC,Maximum amount paid by employer as social security taxes per employee,currency_dollar,,,156.0,,
2,toronto,,EMPLOYER-SOCIAL-TAXES-OTHER,Employer social taxes per employee,percent,0.02632,,,,
3,toronto,,EMPLOYER-SOCIAL-TAXES-SOC-SEC,Employer social security taxes per employee,percent,0.0495,,,,
4,toronto,,STARTUP-JOBS-AVAILABLE,Startup jobs available,int,,,,888.0,
5,toronto,0.9169,STARTUP-JOBS-AVAILABLE-TELESCORE,Startup job availability [Teleport score],float,,,,,
6,toronto,0.6205,STARTUP-SALARIES,Startup salary [Teleport score],float,,,,,
7,toronto,,STARTUP-SALARIES-DETAIL,Startup salary,currency_dollar,,,56421.0,,
0,toronto,,ENGLISH-SKILLS-DETAIL,English skills,int,,,,100.0,
1,toronto,1.0,ENGLISH-SKILLS-TELESCORE,English skills [Teleport score],float,,,,,
2,toronto,,SPOKEN-LANGUAGES,Spoken languages,string,,"English, French",,,
0,toronto,,LGBT-DETAIL-ADOPTION,LGBT adoption rights,string,,✔ Legal,,,
1,toronto,,LGBT-DETAIL-AGE-OF-CONSENT,LGBT age of consent,string,,✖ Unequal,,,
2,toronto,,LGBT-DETAIL-CHANGING-GENDER,LGBT gender changing rights,string,,Varies by Region,,,
3,toronto,,LGBT-DETAIL-CONVERSION-THERAPY,LGBT conversion therapy regulations,string,,Varies by Region,,,
4,toronto,,LGBT-DETAIL-DISCRIMINATION,LGBT discrimination legality,string,,Illegal in some contexts,,,
5,toronto,,LGBT-DETAIL-DONATING-BLOOD,LGBT blood donation regulations,string,,✖ Banned (5-year deferral),,,
6,toronto,,LGBT-DETAIL-EMPLOYMENT-DISCRIMINATION,LGBT employment discrimination legality,string,,Sexual orientation only,,,
7,toronto,,LGBT-DETAIL-HOMOSEXUALITY,LGBT homosexuality rights,string,,✔ Legal,,,
8,toronto,,LGBT-DETAIL-HOUSING-DISCRIMINATION,LGBT housing discrimination legality,string,,Varies by Region,,,
